sub,cat,lag,interrupt,inf_onset,inf_offset,cgtype,cg_onset,cg_offset,month
11,V,1.8466000000000804,1.0,776.78,777.63,"hi. Is that a box? [unintelligilbe] Some animals on it. I see Elmo. Do you know who Elmo is? I do not think you do. Not yet.Big bird, cookie monster, grover, Zoe, Ernie",764.359115,778.6266,Five
11,V,0.5815519999999879,1.0,851.33,855.7,I have a bagel too. Peak-a-peak. Do you wanna see my glasses? Hi! I have silly glasses. Do you want silly glasses? Here you go,840.576513,851.911552,Five
11,V,,0.0,868.56,868.88,,,,Five
11,VCV,0.19259199999999055,1.0,870.615,873.915,who is that?,870.122578,870.807592,Five
11,V,1.1977809999999636,1.0,893.12,893.78,another hat. Should I have a hat too?,892.211041,894.317781,Five
11,V,,0.0,899.54,902.86,,,,Five
11,V,,0.0,906.68,907.29,,,,Five
11,V,,0.0,917.42,917.92,,,,Five
11,V,2.122759999999971,1.0,923.99,925.0,you see lots of different thingd,923.437329,926.11276,Five
11,V,,0.0,926.25,926.93,,,,Five
11,V,,0.0,938.6,938.92,,,,Five
27,V,,0.0,37.13,37.27,,,,Five
27,V,,0.0,38.13,38.32,,,,Five
27,V,,0.0,60.64,62.08,,,,Five
27,V,,0.0,68.8,69.77,,,,Five
27,V,,0.0,114.022,114.422,,,,Five
27,V,,0.0,116.85,117.19,,,,Five
27,V,,0.0,123.66,124.09,,,,Five
27,V,,0.0,126.39,126.77,,,,Five
27,V,,0.0,127.4,127.68,,,,Five
27,V,1.643511000000018,1.0,130.17,130.52,"What? Reach! Reach, reach, reach. Get it",128.015966,131.813511,Five
27,V,,0.0,192.59,193.15,,,,Five
27,V,,0.0,307.13,307.5,,,,Five
27,V,,0.0,350.142,350.612,,,,Five
27,V,,0.0,356.41,356.86,,,,Five
27,V,0.12752999999997883,1.0,361.569,362.179,Did you get that purple circle? With the red polka dots,358.581579,361.69653,Five
27,V,,0.0,370.38,370.56,,,,Five
27,V,,0.0,375.05,375.33,,,,Five
27,V,,0.0,376.105,377.795,,,,Five
27,V,,0.0,382.941,383.161,,,,Five
27,V,,0.0,383.785,383.9,,,,Five
27,V,,0.0,389.45,390.22,,,,Five
27,V,,0.0,423.225,423.665,,,,Five
27,V,,0.0,428.0,428.19,,,,Five
27,V,0.6565349999999626,1.0,442.403,442.673,Ooh that one is a good crunchy noisy one,440.825946,443.059535,Five
27,V,,0.0,448.474,448.684,,,,Five
27,V,,0.0,462.79,463.83,,,,Five
27,V,,0.0,465.448,465.638,,,,Five
27,V,,0.0,581.099,581.359,,,,Five
27,V,,0.0,591.29,591.63,,,,Five
27,V,,0.0,626.55,627.13,,,,Five
27,V,,0.0,627.71,627.89,,,,Five
27,V,,0.0,628.7,629.91,,,,Five
27,V,,0.0,653.62,654.19,,,,Five
27,V,3.1621410000000196,1.0,660.25,660.44,"Do you want to play [unintellligible] Oh, are we going to start spitting? Is it time to spit?",658.691421,663.412141,Five
27,V,,0.0,692.67,693.24,,,,Five
27,V,,0.0,695.25,695.61,,,,Five
27,V,,0.0,701.53,701.89,,,,Five
27,V,,0.0,703.85,704.54,,,,Five
27,V,,0.0,774.92,775.45,,,,Five
27,V,,0.0,802.17,802.67,,,,Five
27,V,,0.0,820.09,820.34,,,,Five
27,V,,0.0,822.56,822.9,,,,Five
27,V,,0.0,827.06,827.55,,,,Five
27,V,,0.0,838.38,838.64,,,,Five
27,V,,0.0,843.03,843.51,,,,Five
27,V,,0.0,866.22,866.36,,,,Five
27,V,,0.0,879.75,880.33,,,,Five
27,V,0.197257000000036,1.0,886.61,886.83,Did you get it,886.155291,886.807257,Five
27,V,,0.0,904.21,904.5,,,,Five
28,V,,0.0,424.781,425.017,,,,Five
28,V,,0.0,479.0,479.63,,,,Five
28,V,,0.0,664.63,664.77,,,,Five
28,V,,0.0,668.572,669.408,,,,Five
28,V,,0.0,720.43,720.67,,,,Five
28,V,,0.0,721.86,722.04,,,,Five
28,V,,0.0,731.16,731.29,,,,Five
28,V,1.6095330000000558,1.0,781.718,782.236,"Yeah, you are still tired huh",781.580145,783.327533,Five
43,V,,0.0,119.898,120.718,,,,Five
43,V,0.44695200000001023,1.0,121.073,121.353,There you go,121.035761,121.519952,Five
43,V,,0.0,138.128,138.658,,,,Five
43,V,,0.0,162.74,163.71,,,,Five
43,V,3.333922000000001,1.0,164.39,164.67,[sound effects],164.383001,167.723922,Five
43,V,,0.0,171.05,171.28,,,,Five
43,V,,0.0,171.85,172.14,,,,Five
43,V,,0.0,191.993,192.293,,,,Five
43,V,,0.0,196.238,196.488,,,,Five
43,V,0.11118499999997766,1.0,198.371,198.671,You see the lights?,197.308021,198.482185,Five
43,V,,0.0,320.555,320.775,,,,Five
43,V,,0.0,390.758,390.988,,,,Five
43,V,,0.0,441.993,442.203,,,,Five
43,V,,0.0,535.82,536.05,,,,Five
43,V,,0.0,537.476,537.896,,,,Five
43,V,,0.0,543.755,544.215,,,,Five
43,V,,0.0,552.435,554.635,,,,Five
43,V,1.1618379999999888,1.0,560.355,563.22,You like this. Should we get one of these for home?,558.56327,561.516838,Five
43,V,,0.0,575.536,575.866,,,,Five
43,V,,0.0,578.583,578.833,,,,Five
43,V,,0.0,601.783,603.393,,,,Five
43,V,,0.0,626.0,626.44,,,,Five
43,V,,0.0,645.74,646.28,,,,Five
43,V,,0.0,650.396,650.726,,,,Five
43,V,,0.0,683.086,683.456,,,,Five
43,V,,0.0,858.38,858.52,,,,Five
43,V,0.8201000000000249,1.0,866.851,867.051,Maybe it is not such a good idea to have this in your mouth. huh?,863.591787,867.6711,Five
43,V,,0.0,880.155,880.285,,,,Five
43,V,,0.0,891.351,892.841,,,,Five
47,V,,0.0,4.77,5.49,,,,Five
47,VC,,0.0,198.1,199.37,,,,Five
47,CVCV,2.4695150000000012,1.0,207.395,209.935,You are going to do a face plant? Ok! ,207.041776,209.864515,Five
47,V,,0.0,321.79,322.07,,,,Five
47,V,,0.0,331.64,331.91,,,,Five
47,V,10.886273000000017,1.0,501.83,502.11,Okay. Let us do more biggy girl airplane. Biggy girl airplane! Is that funny! Biggy girl airplane!,500.064498,512.716273,Five
47,V,2.7562730000000215,1.0,509.96,510.4,Okay. Let us do more biggy girl airplane. Biggy girl airplane! Is that funny! Biggy girl airplane!,500.064498,512.716273,Five
47,V,,0.0,513.53,515.46,,,,Five
47,V,2.572247999999945,1.0,763.72,764.14,And there is this thing. What is that? Kinda looks like your apple,761.759719,766.292248,Five
47,V,,0.0,796.29,796.51,,,,Five
47,V,,0.0,854.44,854.57,,,,Five
48,V,,0.0,132.762,132.912,,,,Five
48,V,2.4985900000000356,1.0,274.287,274.537,come on you can do it you do not want to do it  you can move ,271.282598,276.78559,Five
48,V,,0.0,752.883,753.483,,,,Five
48,V,,0.0,807.26,807.71,,,,Five
48,V,12.858970999999997,1.0,820.869,821.419,what do you want to do you want to see this  what is this do you see a baby do you see a baby over this is there a baby down there can you see can you see yourself that is oliver there is an oliver in there yeah there is a baby ,809.187604,833.727971,Five
48,V,10.522218000000066,1.0,843.78,844.04,look at all the colors there is red and blue and yellow and this is like a song like your little toy at home where you always smile at it and laugh at it and it crinkles ,842.255128,854.302218,Five
53,VCV,,0.0,10.71,11.71,,,,Five
53,V,,0.0,111.41,111.7,,,,Five
53,V,0.42279800000000023,1.0,130.955,131.255,"Yeah, yeah",129.533899,131.377798,Five
53,V,,0.0,174.445,174.655,,,,Five
53,V,0.8014210000000048,1.0,189.29,189.64,[unintelligible],189.254388,190.091421,Five
53,V,0.6329589999999996,1.0,207.485,207.865,"[agoo a goo goo goo, a googoogoogoogoo agoago]",201.943324,208.117959,Five
53,V,,0.0,393.625,394.505,,,,Five
53,V,3.870189000000039,1.0,439.592,440.982,look at that there is another one there is another one yeah yeah there is another one,435.16819,443.462189,Five
53,V,,0.0,458.47,458.63,,,,Five
53,V,,0.0,463.074,463.574,,,,Five
53,V,,0.0,489.225,489.8,,,,Five
53,CV,,0.0,508.3,508.91,,,,Five
53,V,,0.0,562.505,563.075,,,,Five
53,V,5.175433999999996,1.0,566.965,567.625,[baby noises],566.223078,572.140434,Five
53,V,2.372618999999986,1.0,647.615,647.805,[baby sounds] you will get out it i a baby. it is such a beatiful baby  look at us look at usy you are such a baby ,646.786426,649.987619,Five
53,V,,0.0,657.365,657.585,,,,Five
53,V,12.574371000000042,1.0,724.67,725.47,you have seen this baby before [x2] [unintelligilbe] and it is such a good baby yes and it is such a good baby it is such a good baby it is such a good baby ,718.813261,737.244371,Five
53,V,,0.0,762.735,764.305,,,,Five
53,V,,0.0,833.195,833.775,,,,Five
53,V,,0.0,837.92,840.73,,,,Five
53,V,12.592902999999978,1.0,841.495,843.165,yes and we are coming back up we are coming back we are coming back we are coming back up and we are going back down [name] where you go,839.391518,854.087903,Five
53,V,,0.0,856.08,857.46,,,,Five
53,V,,0.0,857.86,859.32,,,,Five
53,V,,0.0,860.09,861.0,,,,Five
59,V,,0.0,345.127,345.899,,,,Five
59,V,,0.0,364.053,364.253,,,,Five
59,V,0.20160899999996218,1.0,380.961,381.1,are you mad because you cannot eat it,379.039319,381.162609,Five
59,V,,0.0,382.003,382.157,,,,Five
59,V,,0.0,383.899,384.126,,,,Five
59,V,0.47462600000000066,1.0,401.174,401.347,look at you good job,398.954501,401.648626,Five
59,V,,0.0,405.194,405.376,,,,Five
59,V,,0.0,465.371,466.007,,,,Five
59,V,0.006681000000014592,1.0,480.145,482.809,good job little girl,478.796617,480.151681,Five
59,V,,0.0,494.227,495.518,,,,Five
59,V,,0.0,497.108,498.172,,,,Five
59,V,,0.0,554.03,554.749,,,,Five
59,V,,0.0,642.964,643.828,,,,Five
59,V,,0.0,644.633,645.369,,,,Five
59,V,,0.0,650.562,650.744,,,,Five
59,V,,0.0,651.607,651.744,,,,Five
59,V,,0.0,817.962,818.198,,,,Five
59,V,2.4637369999999237,1.0,824.051,825.245,you are doing pretty good at sitting up on your own huh,824.023339,826.514737,Five
59,V,0.12473699999998189,1.0,826.39,828.217,you are doing pretty good at sitting up on your own huh,824.023339,826.514737,Five
59,V,,0.0,829.72,830.96,,,,Five
59,V,,0.0,845.524,845.824,,,,Five
59,V,,0.0,868.454,869.018,,,,Five
59,V,,0.0,878.154,878.58,,,,Five
59,V,,0.0,879.796,880.223,,,,Five
64,V,,0.0,18.27,19.56,,,,Five
64,V,,0.0,24.615,25.295,,,,Five
64,V,,0.0,26.835,27.175,,,,Five
64,V,,0.0,156.375,157.055,,,,Five
64,V,,0.0,292.54,293.78,,,,Five
64,VC,,0.0,393.02,393.52,,,,Five
64,V,,0.0,449.71,450.11,,,,Five
64,V,,0.0,516.89,517.3,,,,Five
64,V,,0.0,573.935,579.685,,,,Five
64,V,,0.0,583.19,583.52,,,,Five
64,V,1.413797000000045,1.0,599.25,599.45,look purple and red it is a donut,596.871877,600.663797,Five
64,V,,0.0,629.92,630.37,,,,Five
64,V,,0.0,635.69,637.09,,,,Five
64,V,,0.0,674.43,675.37,,,,Five
64,V,,0.0,676.71,677.24,,,,Five
64,V,,0.0,678.33,678.88,,,,Five
64,V,,0.0,695.38,695.99,,,,Five
64,CV,,0.0,745.49,745.93,,,,Five
64,V,,0.0,747.31,747.69,,,,Five
64,V,0.06032100000004448,1.0,812.24,812.86,baby hi,808.686147,812.300321,Five
64,V,,0.0,819.52,820.0,,,,Five
64,V,,0.0,823.64,823.88,,,,Five
64,V,,0.0,825.82,825.96,,,,Five
64,VC,,0.0,832.66,833.53,,,,Five
64,V,,0.0,838.83,839.09,,,,Five
64,VCV,2.540886999999998,1.0,877.54,878.25,does not sit in your mouth i know very frustrating,876.466714,880.080887,Five
64,VCV,,0.0,928.99,931.27,,,,Five
64,V,,0.0,935.98,938.01,,,,Five
64,V,,0.0,950.07,951.74,,,,Five
71,V,,0.0,58.628,58.884,,,,Five
71,V,1.7885419999999996,1.0,61.548,61.707,yeah who is that is that a girl face is that a girl face oh yes it is ,60.406556,63.336542,Five
71,V,0.31954199999999844,1.0,63.017,63.291,yeah who is that is that a girl face is that a girl face oh yes it is ,60.406556,63.336542,Five
71,V,,0.0,68.468,68.654,,,,Five
71,V,,0.0,71.292,71.592,,,,Five
71,V,,0.0,77.786,77.937,,,,Five
71,V,,0.0,88.707,88.884,,,,Five
71,V,2.8060779999999994,1.0,98.193,98.397,you do like that girl do you see her yeah oh down she goes let us flip her back over  there she is ,89.242507,100.999078,Five
71,V,2.0652840000000054,1.0,126.671,126.963,who do you want to see over here you want to see the girl,125.513299,128.736284,Five
71,V,,0.0,129.069,129.53,,,,Five
71,V,,0.0,131.052,132.105,,,,Five
71,V,0.8587960000000123,1.0,134.238,135.034,there let us sit you down,132.72839,135.096796,Five
71,V,0.42850500000000125,1.0,152.822,153.158,no ,152.78659,153.250505,Five
71,V,,0.0,163.76,164.088,,,,Five
71,V,,0.0,168.866,169.158,,,,Five
71,V,,0.0,202.318,202.433,,,,Five
71,V,0.42985400000000595,1.0,203.778,204.043,big boy,203.548607,204.207854,Five
71,V,0.48191499999998655,1.0,217.68,217.954,what do you see that you like ,216.892254,218.161915,Five
71,V,,0.0,247.212,247.371,,,,Five
71,V,,0.0,291.742,292.485,,,,Five
71,V,8.560226999999998,1.0,295.902,297.052,you do like that one it is round and blue no mama put it back mama put it back mama put it back,292.88878,304.462227,Five
71,V,5.595226999999966,1.0,298.867,299.15,you do like that one it is round and blue no mama put it back mama put it back mama put it back,292.88878,304.462227,Five
71,V,3.8172270000000026,1.0,300.645,302.07,you do like that one it is round and blue no mama put it back mama put it back mama put it back,292.88878,304.462227,Five
71,V,5.45038599999998,1.0,318.716,318.937,is that a familiar sound for you do you like that do you like it there it is how about this one crunchy [c6],313.996891,324.166386,Five
71,V,,0.0,363.963,367.592,,,,Five
71,V,,0.0,382.627,382.849,,,,Five
71,V,12.454219000000023,1.0,384.327,384.584,get it  get down there mama put it up here see if you can reach that get it see if you can get that  ge it big boy yes  you did get it get it no,383.205615,396.781219,Five
71,V,11.066219000000046,1.0,385.715,385.848,get it  get down there mama put it up here see if you can reach that get it see if you can get that  ge it big boy yes  you did get it get it no,383.205615,396.781219,Five
71,V,5.728219000000024,1.0,391.053,392.132,get it  get down there mama put it up here see if you can reach that get it see if you can get that  ge it big boy yes  you did get it get it no,383.205615,396.781219,Five
71,V,2.0652190000000132,1.0,394.716,394.92,get it  get down there mama put it up here see if you can reach that get it see if you can get that  ge it big boy yes  you did get it get it no,383.205615,396.781219,Five
71,V,0.6052190000000337,1.0,396.176,399.035,get it  get down there mama put it up here see if you can reach that get it see if you can get that  ge it big boy yes  you did get it get it no,383.205615,396.781219,Five
71,V,,0.0,399.74,400.28,,,,Five
71,V,4.370215999999971,1.0,402.141,405.451,here you go put it back up there try again try again try to get it ,400.553577,406.511216,Five
71,V,0.32621599999998807,1.0,406.185,406.398,here you go put it back up there try again try again try to get it ,400.553577,406.511216,Five
71,V,,0.0,408.05,408.26,,,,Five
71,V,7.159633000000042,1.0,408.52,408.77,try it again oh no no no here here here do not be angry no angry fussy buckets today  ,408.476749,415.679633,Five
71,V,0.3446330000000444,1.0,415.335,416.627,try it again oh no no no here here here do not be angry no angry fussy buckets today  ,408.476749,415.679633,Five
71,V,,0.0,421.088,421.477,,,,Five
71,V,0.5037039999999706,1.0,426.786,427.025,sit round like a tire sit round like a donut ,423.834762,427.289704,Five
71,V,8.391357000000028,1.0,431.07,432.044,sit round [x2] like daddys belly yeah sit round ,430.476065,439.461357,Five
71,V,3.5953570000000354,1.0,435.866,436.539,sit round [x2] like daddys belly yeah sit round ,430.476065,439.461357,Five
71,V,2.20135700000003,1.0,437.26,437.43,sit round [x2] like daddys belly yeah sit round ,430.476065,439.461357,Five
71,V,,0.0,441.725,441.964,,,,Five
71,V,,0.0,443.557,443.689,,,,Five
71,V,,0.0,447.633,447.92,,,,Five
71,V,0.2288920000000303,1.0,449.756,449.923,you a big boy,448.849522,449.984892,Five
71,V,,0.0,451.068,451.715,,,,Five
71,V,2.5545359999999846,1.0,452.216,452.347,ok are you done with this  you done with that one  ,451.950424,454.770536,Five
71,V,2.5099610000000325,1.0,459.671,460.53,mm do this one again,459.275391,462.180961,Five
71,V,0.3409610000000498,1.0,461.84,462.14,mm do this one again,459.275391,462.180961,Five
71,V,,0.0,465.51,465.7,,,,Five
71,V,4.329169000000036,1.0,467.008,468.362,no you like red is red your favorite is it your favorite ,466.185276,471.337169,Five
71,V,1.4001690000000053,1.0,469.937,471.362,no you like red is red your favorite is it your favorite ,466.185276,471.337169,Five
71,V,,0.0,472.53,475.344,,,,Five
71,V,,0.0,478.132,478.353,,,,Five
71,V,,0.0,481.716,481.893,,,,Five
71,V,3.7737200000000257,1.0,483.715,483.866,got it you are such a big boy you  want to put it back up there you want to put it back up there,481.872912,487.48872,Five
71,V,2.1897200000000225,1.0,485.299,485.556,got it you are such a big boy you  want to put it back up there you want to put it back up there,481.872912,487.48872,Five
71,V,,0.0,488.45,488.636,,,,Five
71,V,,0.0,490.287,490.681,,,,Five
71,V,1.2563130000000342,1.0,493.008,493.477,okay [x2],492.555155,494.264313,Five
71,V,,0.0,518.742,519.008,,,,Five
71,V,3.0480119999999715,1.0,520.565,520.84,crinkling you still crinkling yeah,518.827367,523.613012,Five
71,V,1.189012000000048,1.0,522.424,522.778,crinkling you still crinkling yeah,518.827367,523.613012,Five
71,V,,0.0,524.21,524.43,,,,Five
71,V,,0.0,525.56,525.87,,,,Five
71,V,,0.0,526.56,526.98,,,,Five
71,V,,0.0,532.398,533.114,,,,Five
71,V,0.3235909999999649,1.0,542.432,543.415,you want to go around and see what it is you want to go ,539.740146,542.755591,Five
71,V,2.9226770000000215,1.0,548.22,548.51,go stand up and play with that one stand up and play with it there you go,547.29707,551.142677,Five
71,V,,0.0,555.06,555.35,,,,Five
71,CV,,0.0,564.57,564.94,,,,Five
71,V,0.7356449999999768,1.0,566.583,567.451,yeah do you see the doggy ,565.536236,567.318645,Five
71,V,,0.0,568.442,569.451,,,,Five
71,V,,0.0,573.08,573.45,,,,Five
71,V,,0.0,574.6,574.96,,,,Five
71,V,5.974687000000017,1.0,579.4,579.69,you want to get the moo ok let us get the moo  let us get the moo get him ,578.037512,585.374687,Five
71,V,,0.0,589.884,590.167,,,,Five
71,V,,0.0,599.725,599.981,,,,Five
71,V,,0.0,607.937,608.308,,,,Five
71,V,,0.0,614.035,614.185,,,,Five
71,V,3.293442999999911,1.0,635.114,635.892,yes you say good morning mister moo good morning mister moo,631.546391,638.407443,Five
71,V,,0.0,639.504,640.008,,,,Five
71,V,1.093625999999972,1.0,642.893,644.035,do you see mister moo has ears ,641.935635,643.986626,Five
71,V,3.720632999999907,1.0,656.796,657.477,what do you see do you see this pretty ready go get it you going to get it  goinig to get it stretch stretch   ,648.857728,660.516633,Five
71,V,1.4266329999999243,1.0,659.09,659.36,what do you see do you see this pretty ready go get it you going to get it  goinig to get it stretch stretch   ,648.857728,660.516633,Five
71,V,6.8743709999999965,1.0,674.494,674.742,mister moos ears are soft are they not you want to try that there you go you like that you like the checkers  ,672.224371,681.368371,Five
71,V,0.42026799999996456,1.0,685.221,685.619,yes ,684.786688,685.641268,Five
71,V,,0.0,690.646,693.353,,,,Five
71,V,,0.0,694.31,694.49,,,,Five
71,V,,0.0,742.575,744.566,,,,Five
71,V,,0.0,758.72,759.09,,,,Five
71,V,5.005708000000027,1.0,766.24,766.6,you like the colors oh pretty yes mama separating  ,765.861858,771.245708,Five
71,CV,2.6957080000000815,1.0,768.55,768.81,you like the colors oh pretty yes mama separating  ,765.861858,771.245708,Five
71,V,0.7257080000000542,1.0,770.52,771.16,you like the colors oh pretty yes mama separating  ,765.861858,771.245708,Five
71,V,,0.0,789.141,789.893,,,,Five
71,V,,0.0,791.149,793.308,,,,Five
71,V,1.282259999999951,1.0,804.11,804.3,say mama i have had enough being held today  yes ,801.546652,805.39226,Five
71,V,,0.0,805.99,808.256,,,,Five
71,V,,0.0,812.45,812.71,,,,Five
71,V,3.937487000000033,1.0,815.36,815.81,violet  you like that there is violet colored you want to feel it stars ,813.144516,819.297487,Five
71,V,6.377028999999993,1.0,831.123,832.336,ready [x7] up [x21],830.443645,837.500029,Five
71,V,1.668700000000058,1.0,843.901,844.645,ok where do you want to look at it want to see things from here from the big boy ,840.149225,845.5697,Five
71,V,,0.0,848.28,848.61,,,,Five
71,V,1.3364609999999857,1.0,850.96,851.22,what do you see [x2] ,849.378683,852.296461,Five
71,V,,0.0,852.98,853.31,,,,Five
71,V,,0.0,856.47,856.69,,,,Five
71,V,2.444900999999959,1.0,862.89,863.16,do you want the orange one orange  or purple purple  ,858.864514,865.334901,Five
71,V,,0.0,866.38,866.7,,,,Five
71,V,5.000532000000021,1.0,868.05,868.79,purple here we go here you go purple we will set that right there  ,866.384813,873.050532,Five
71,V,3.3175320000000283,1.0,869.733,870.76,purple here we go here you go purple we will set that right there  ,866.384813,873.050532,Five
71,V,0.8205319999999574,1.0,872.23,872.94,purple here we go here you go purple we will set that right there  ,866.384813,873.050532,Five
71,V,,0.0,874.211,874.671,,,,Five
71,V,4.576325999999995,1.0,877.02,877.48,can you reach it big boy ooh ,877.006014,881.596326,Five
71,V,,0.0,881.95,882.12,,,,Five
71,V,5.523123999999939,1.0,883.74,884.29,there it goes you see it down there there it is you see it no,882.939237,889.263124,Five
71,V,3.9631239999999934,1.0,885.3,890.345,there it goes you see it down there there it is you see it no,882.939237,889.263124,Five
71,V,,0.0,892.822,893.353,,,,Five
71,V,1.6721549999999752,1.0,899.14,899.28,want to see what is in that toy box are you geting bored ,897.79671,900.812155,Five
71,V,,0.0,904.123,904.911,,,,Five
